"","UNIQUE_CARRIER","YEAR","MONTH","DAY_OF_MONTH","count","c_rate","cancel","lower","upper","date","airline"
"184","9E",2010,7,3,669,0.00149476831091181,1,3.78435409917888e-05,0.00829991566409194,"2010-7-3",NA
"185","9E",2010,7,4,529,0.00189035916824197,1,4.78586051833041e-05,0.0104870089092229,"2010-7-4",NA
"186","9E",2010,7,5,742,0.0242587601078167,18,0.0144391950133588,0.0380691056004495,"2010-7-5",NA
"187","9E",2010,7,6,796,0.00376884422110553,3,0.000777901679566262,0.0109743246227383,"2010-7-6",NA
"188","9E",2010,7,7,797,0.00752823086574655,6,0.00276759288939776,0.0163133105276863,"2010-7-7",NA
"189","9E",2010,7,8,792,0.0202020202020202,16,0.0115902134320451,0.0325999430313682,"2010-7-8",NA
"190","9E",2010,7,9,791,0.0328697850821745,26,0.0215817521946808,0.0477925952300183,"2010-7-9",NA
"191","9E",2010,7,10,668,0.0329341317365269,22,0.0207524546242603,0.0494397028314167,"2010-7-10",NA
"192","9E",2010,7,11,745,0.0201342281879195,15,0.0113116953983335,0.0329911858251649,"2010-7-11",NA
"193","9E",2010,7,12,788,0.0545685279187817,43,0.039769422404853,0.0728027189002477,"2010-7-12",NA
"194","9E",2010,7,13,799,0.0663329161451815,53,0.0500791646451091,0.0858703017308181,"2010-7-13",NA
"195","9E",2010,7,14,797,0.0426599749058971,34,0.0297211880564316,0.059105392678059,"2010-7-14",NA
"196","9E",2010,7,15,788,0.0406091370558376,32,0.0279395808689049,0.0568467513077933,"2010-7-15",NA
"197","9E",2010,7,16,793,0.0189155107187894,15,0.0106245553154809,0.0310065948267534,"2010-7-16",NA
"198","9E",2010,7,17,667,0.00749625187406297,5,0.00243836228515015,0.0174064479266863,"2010-7-17",NA
"199","9E",2010,7,18,747,0.0120481927710843,9,0.00552359590180751,0.0227475584042046,"2010-7-18",NA
"200","9E",2010,7,19,786,0.0419847328244275,33,0.0290736359400241,0.058459439178328,"2010-7-19",NA
"201","9E",2010,7,20,795,0.0113207547169811,9,0.00518927535254587,0.0213811311639475,"2010-7-20",NA
"202","9E",2010,7,21,796,0.0238693467336683,19,0.014430667897284,0.0370248054911493,"2010-7-21",NA
"203","9E",2010,7,22,791,0.0176991150442478,14,0.00970919690020244,0.0295179521362419,"2010-7-22",NA
"204","9E",2010,7,23,793,0.0907944514501892,72,0.0717182995756404,0.112974542988271,"2010-7-23",NA
"205","9E",2010,7,24,669,0.0732436472346786,49,0.0546741541262651,0.0956783824498008,"2010-7-24",NA
"206","9E",2010,7,25,745,0.0214765100671141,16,0.012324316963504,0.0346427011442635,"2010-7-25",NA
"207","9E",2010,7,26,787,0.0381194409148666,30,0.0258641393516402,0.0539727670319921,"2010-7-26",NA
"208","9E",2010,7,27,800,0.02875,23,0.0183104602882259,0.042828119991203,"2010-7-27",NA
"209","9E",2010,7,28,800,0.05375,43,0.0391686962307998,0.0717211042343853,"2010-7-28",NA
"210","9E",2010,7,29,793,0.0466582597730139,37,0.033061232015599,0.0637415224111915,"2010-7-29",NA
"211","9E",2010,7,30,795,0.0163522012578616,13,0.00873484538359837,0.027800440750154,"2010-7-30",NA
"212","9E",2010,7,31,667,0.0134932533733133,9,0.00618804041055421,0.0254593053599689,"2010-7-31",NA
"213","9E",2010,8,1,1498,0.0240320427236315,36,0.0168871945446445,0.0331163813412636,"2010-8-1",NA
"214","9E",2010,8,2,1578,0.026615969581749,42,0.0192482743479923,0.0358081129970146,"2010-8-2",NA
"215","9E",2010,8,3,1594,0.0476787954830615,76,0.0377464610817069,0.0593163503870427,"2010-8-3",NA
"216","9E",2010,8,4,1588,0.0201511335012594,32,0.0138231909404788,0.028329143142324,"2010-8-4",NA
"217","9E",2010,8,5,1578,0.0456273764258555,72,0.0358690195032105,0.0571177129348766,"2010-8-5",NA
"218","9E",2010,8,6,1582,0.0442477876106195,70,0.0346529773659173,0.055576325569159,"2010-8-6",NA
"219","9E",2010,8,7,1332,0.015015015015015,20,0.00919504741780441,0.0230946151893137,"2010-8-7",NA
"220","9E",2010,8,8,1492,0.0375335120643432,56,0.0284746057079311,0.0484658015919188,"2010-8-8",NA
"221","9E",2010,8,9,1578,0.0164765525982256,26,0.0107905332365485,0.0240493126477835,"2010-8-9",NA
"222","9E",2010,8,10,1590,0.0440251572327044,70,0.0344778116478764,0.0552983502888003,"2010-8-10",NA
"223","9E",2010,8,11,1590,0.0415094339622641,66,0.0322462434506322,0.0525098786594806,"2010-8-11",NA
"224","9E",2010,8,12,1578,0.0367553865652725,58,0.0280259296037443,0.0472578743894829,"2010-8-12",NA
"225","9E",2010,8,13,1582,0.0328697850821745,52,0.0246441667923506,0.0428827681603714,"2010-8-13",NA
"226","9E",2010,8,14,1310,0.0198473282442748,26,0.013004889078039,0.0289464537583262,"2010-8-14",NA
"227","9E",2010,8,15,1478,0.0162381596752368,24,0.0104310857203055,0.0240652657902661,"2010-8-15",NA
"228","9E",2010,8,16,1558,0.0231065468549422,36,0.0162347833153446,0.0318467600330147,"2010-8-16",NA
"229","9E",2010,8,17,1572,0.0114503816793893,18,0.00679994896386082,0.018036374986574,"2010-8-17",NA
"230","9E",2010,8,18,1560,0.0153846153846154,24,0.00988143324996493,0.0228050745770013,"2010-8-18",NA
"231","9E",2010,8,19,1576,0.0139593908629442,22,0.00876839874957525,0.0210587931484553,"2010-8-19",NA
"232","9E",2010,8,20,1560,0.0294871794871795,46,0.0216674635625191,0.0391374196193158,"2010-8-20",NA
"233","9E",2010,8,21,1234,0.0291734197730956,36,0.020514564223854,0.0401610950551414,"2010-8-21",NA
"234","9E",2010,8,22,1434,0.0404463040446304,58,0.030853247211412,0.0519748670920601,"2010-8-22",NA
"235","9E",2010,8,23,1552,0.0270618556701031,42,0.0195718644034961,0.0364051037365657,"2010-8-23",NA
"236","9E",2010,8,24,1568,0.0114795918367347,18,0.00681733103348026,0.0180822322005499,"2010-8-24",NA
"237","9E",2010,8,25,1556,0.0141388174807198,22,0.00888136645973847,0.0213284827882677,"2010-8-25",NA
"238","9E",2010,8,26,1584,0.0113636363636364,18,0.00674833054669666,0.0179001883370287,"2010-8-26",NA
"239","9E",2010,8,27,1556,0.0102827763496144,16,0.00588859629136218,0.016645002849707,"2010-8-27",NA
"240","9E",2010,8,28,1214,0.00988467874794069,12,0.00511769341062684,0.0172028255841964,"2010-8-28",NA
"241","9E",2010,8,29,1432,0.0167597765363128,24,0.0107670629155551,0.0248351308569231,"2010-8-29",NA
"242","9E",2010,8,30,1554,0.00772200772200772,12,0.00399625444846741,0.0134499051213139,"2010-8-30",NA
"243","9E",2010,8,31,1568,0.0178571428571429,28,0.011897909765333,0.0257057724789813,"2010-8-31",NA
"244","9E",2010,10,1,716,0.0698324022346369,50,0.0522718141772837,0.0910319321766625,"2010-10-1",NA
"245","9E",2010,10,2,491,0.0244399185336049,12,0.0126907854085938,0.0423021766688221,"2010-10-2",NA
"246","9E",2010,10,3,647,0.00154559505409583,1,3.91303131903609e-05,0.00858114193837156,"2010-10-3",NA
"247","9E",2010,10,4,711,0.0253164556962025,18,0.0150715967669296,0.0397166322491003,"2010-10-4",NA
"248","9E",2010,10,5,714,0.0252100840336134,18,0.0150079857353635,0.0395509882785082,"2010-10-5",NA
"249","9E",2010,10,6,709,0.0141043723554302,10,0.00678376421180882,0.0257850699459248,"2010-10-6",NA
"250","9E",2010,10,7,716,0.00698324022346369,5,0.00227121301319844,0.0162207818156355,"2010-10-7",NA
"251","9E",2010,10,8,708,0.018361581920904,13,0.00981208476995765,0.0311942004910885,"2010-10-8",NA
"252","9E",2010,10,9,493,0.00202839756592292,1,5.13532614659917e-05,0.0112492468312472,"2010-10-9",NA
